mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2559132,5580000.0,4.0,2.0,"550 W 29th Ave, Vancouver, BC, Canada",2600.0,0.0,12336.0,2223.0,1942.0,SingleFamily,15/04/2021,2021-03-29,5780000.0
R2527077,2200000.0,2.0,3.0,"1678 Pullman Porter St, Vancouver, BC, Canada",1565.0,2.0,5737.0,1463.0,2018.0,Townhouse,31/03/2021,2021-01-07,2290000.0
R2557863,4550000.0,3.0,2.0,"577 W 27th Ave, Vancouver, BC, Canada",1947.0,0.0,10150.0,2568.0,1941.0,SingleFamily,04/04/2021,2021-03-24,5000000.0
R2557857,4550000.0,5.0,3.0,"547 W 27th Ave, Vancouver, BC, Canada",3326.0,0.0,12792.0,1503.0,1943.0,SingleFamily,04/04/2021,2021-03-24,5000000.0
R2559154,5280000.0,5.0,3.0,"560 W 29th Ave, Vancouver, BC, Canada",4085.0,0.0,21845.0,1561.0,2012.0,SingleFamily,15/04/2021,2021-03-29,6380000.0
R2543744,1760000.0,5.0,4.0,"1965 E 37th Ave, Vancouver, BC, Canada",2249.0,0.0,6013.0,799.0,1991.0,SingleFamily,11/04/2021,2021-02-26,1799000.0
R2561249,1705000.0,3.0,2.0,"4247 Musqueam Dr, Vancouver, BC, Canada",3500.0,0.0,8896.0,396.0,1973.0,SingleFamily,13/04/2021,2021-04-05,1388000.0
R2574473,1695000.0,3.0,2.0,"593 King Edward Ave W, Vancouver, BC, Canada",1590.0,0.0,4207.0,1093.0,2017.0,Townhouse,05/05/2021,2021-04-29,1738000.0
R2545989,1360000.0,3.0,4.0,"5150 Slocan St, Vancouver, BC, Canada",1657.0,0.0,5441.0,843.0,2021.0,MultiFamily,04/05/2021,2021-03-01,1398000.0
R2567782,5111111.0,5.0,2.0,"1896 Wesbrook Cres, Vancouver, BC, Canada",3413.0,0.0,20878.0,1406.0,1955.0,SingleFamily,05/05/2021,2021-03-02,4800000.0
R2556575,4575000.0,5.0,3.0,"6268 Collingwood St, Vancouver, BC, Canada",4747.0,0.0,13709.0,968.0,1912.0,SingleFamily,03/05/2021,2021-03-23,4598000.0
R2890493,1738000.0,3.0,3.0,"1751 14Th Ave E, Vancouver, BC, Canada",1507.0,2.0,4859.0,1160.0,2021.0,MultiFamily,10/06/2024,2024-06-02,1749000.0
R2570731,5538000.0,5.0,4.0,"3522 W 36Th Ave, Vancouver, BC, Canada",4842.0,0.0,12330.0,1216.0,2013.0,SingleFamily,04/05/2021,2021-04-22,5890000.0
R2578590,1820000.0,2.0,2.0,"1039 Expo Blvd, Vancouver, BC, Canada",1587.0,0.0,4046.0,1178.0,1998.0,Townhouse,15/05/2021,2021-05-09,1869900.0
R2576702,850000.0,3.0,2.0,"3426 Terra Vita Pl, Vancouver, BC, Canada",1401.0,0.0,2211.0,606.0,1997.0,Townhouse,16/05/2021,2021-05-03,849900.0
R2575789,1970000.0,3.0,2.0,"4928 Earles St, Vancouver, BC, Canada",2268.0,0.0,4926.0,903.0,1968.0,SingleFamily,16/05/2021,2021-04-30,2050000.0
R2573823,1480000.0,3.0,2.0,"260 E 17th Ave, Vancouver, BC, Canada",1104.0,0.0,8203.0,1356.0,2021.0,MultiFamily,16/05/2021,2021-04-28,1498000.0
R2579407,3079000.0,4.0,2.0,"1706 W 58th Ave, Vancouver, BC, Canada",2835.0,0.0,8151.0,1092.0,1940.0,SingleFamily,16/05/2021,2021-05-10,3098000.0
R2576408,1998800.0,4.0,2.0,"50 E 12th Ave, Vancouver, BC, Canada",2504.0,0.0,5848.0,798.0,1909.0,SingleFamily,17/05/2021,2021-05-03,1998800.0
R2576647,2299900.0,4.0,4.0,"77 E 33Rd Ave, Vancouver, BC, Canada",1950.0,0.0,6424.0,1205.0,2011.0,SingleFamily,16/05/2021,2021-05-04,2349900.0
R2578654,1615000.0,3.0,2.0,"2943 Laurel St, Vancouver, BC, Canada",1406.0,0.0,4014.0,1172.0,2004.0,Townhouse,20/05/2021,2021-05-09,1649000.0
R2550933,650000.0,2.0,1.0,"706 Millyard, Vancouver, BC, Canada",1414.0,0.0,2484.0,494.0,1978.0,Townhouse,22/05/2021,2021-03-14,699000.0
R2577126,3083800.0,4.0,5.0,"2082 W 47th Ave, Vancouver, BC, Canada",2701.0,0.0,8864.0,1214.0,2003.0,SingleFamily,20/05/2021,2021-05-05,3280000.0
R2583620,773000.0,1.0,1.0,"280 W 1st Ave, Vancouver, BC, Canada",615.0,1.0,1840.0,1230.0,2012.0,Condo,22/05/2021,2021-05-19,757000.0
R2568119,940000.0,3.0,2.0,"5157 W 4Th Ave, Vancouver, BC, Canada",1403.0,0.0,2499.0,682.0,2015.0,Townhouse,21/05/2021,2021-04-18,958000.0
R2583011,2350000.0,5.0,2.0,"2092 W 57th Ave, Vancouver, BC, Canada",2725.0,3.0,7215.0,917.0,1941.0,SingleFamily,26/05/2021,2021-05-18,2499000.0
R2578837,749000.0,2.0,1.0,"1721 Island Ave, Vancouver, BC, Canada",1243.0,0.0,3065.0,602.0,1990.0,Townhouse,26/05/2021,2021-05-09,749000.0
R2582860,3935000.0,6.0,4.0,"4424 W 8th Ave, Vancouver, BC, Canada",3307.0,0.0,8511.0,1164.0,1912.0,SingleFamily,25/05/2021,2021-05-18,3850000.0
R2571951,760000.0,2.0,2.0,"609 Stamps Landing, Vancouver, BC, Canada",1485.0,0.0,3390.0,537.0,1976.0,Townhouse,25/05/2021,2021-04-25,798000.0
R2579876,1515000.0,4.0,2.0,"5205 Ross St, Vancouver, BC, Canada",1862.0,0.0,5011.0,832.0,1945.0,SingleFamily,25/05/2021,2021-05-09,1550000.0
R2572693,1149000.0,3.0,2.0,"3264 Clermont Mews, Vancouver, BC, Canada",1439.0,0.0,2899.0,826.0,2004.0,Townhouse,25/05/2021,2021-04-25,1189000.0
R2570216,2150000.0,5.0,3.0,"5794St Margarets St, Vancouver, BC, Canada",3086.0,0.0,6006.0,774.0,1984.0,SingleFamily,26/05/2021,2021-04-21,2388888.0
R2582693,2533000.0,9.0,7.0,"6468 Bruce St, Vancouver, BC, Canada",4027.0,0.0,8246.0,645.0,2012.0,SingleFamily,26/05/2021,2021-05-18,2598000.0
R2586058,3600000.0,5.0,5.0,"2721 W 14th Ave, Vancouver, BC, Canada",2895.0,0.0,9006.0,1239.0,2015.0,SingleFamily,30/05/2021,2021-05-26,3588000.0
R2582446,2499900.0,6.0,3.0,"1224 Lakewood Dr, Vancouver, BC, Canada",2785.0,0.0,7363.0,897.0,1912.0,SingleFamily,28/05/2021,2021-05-17,2499900.0
R2580780,2618000.0,4.0,2.0,"6368 Laburnum St, Vancouver, BC, Canada",2286.0,0.0,7238.0,1181.0,1958.0,SingleFamily,29/05/2021,2021-05-12,2699800.0
R2579180,5000000.0,4.0,4.0,"1323 W 26th Ave, Vancouver, BC, Canada",4079.0,0.0,14022.0,1345.0,1925.0,SingleFamily,30/05/2021,2021-05-09,5488000.0
R2829021,2280000.0,9.0,4.0,"2636 W 41st Ave, Vancouver, BC, Canada",2600.0,3.0,9229.0,922.0,1930.0,SingleFamily,22/11/2023,2023-10-29,2398000.0
R2544831,4000000.0,7.0,8.0,"4083 W 18th Ave, Vancouver, BC, Canada",3963.0,1.0,9146.0,1107.0,2020.0,SingleFamily,29/05/2021,2021-03-01,4390000.0
R2583800,1508000.0,2.0,1.0,"850 E 38th Ave, Vancouver, BC, Canada",830.0,0.0,5151.0,1816.0,1958.0,SingleFamily,29/05/2021,2021-05-20,1508000.0
R2564554,2495000.0,7.0,5.0,"2946 E 26th Ave, Vancouver, BC, Canada",3248.0,0.0,5920.0,796.0,2019.0,SingleFamily,29/05/2021,2021-04-11,2588000.0
R2583407,1539000.0,6.0,4.0,"4799 W 2Nd Ave, Vancouver, BC, Canada",2829.0,0.0,4667.0,529.0,2005.0,SingleFamily,31/05/2021,2021-05-19,1499000.0
R2584492,1958000.0,4.0,2.0,"2803 Trinity St, Vancouver, BC, Canada",2730.0,0.0,5455.0,622.0,1925.0,SingleFamily,31/05/2021,2021-05-24,1699000.0
R2585933,1599000.0,8.0,4.0,"4927 Chatham St, Vancouver, BC, Canada",2023.0,0.0,5321.0,740.0,2011.0,SingleFamily,31/05/2021,2021-05-26,1499000.0
R2585442,1598000.0,4.0,2.0,"2465 E 23rd Ave, Vancouver, BC, Canada",1900.0,0.0,5245.0,777.0,1946.0,SingleFamily,31/05/2021,2021-05-25,1478000.0
R2549915,8800000.0,7.0,8.0,"1588 W 54th Ave, Vancouver, BC, Canada",8506.0,0.0,51708.0,1162.0,2013.0,SingleFamily,31/05/2021,2021-03-10,9888888.0
R2590394,925000.0,2.0,2.0,"2545 W Broadway, Vancouver, BC, Canada",863.0,0.0,2188.0,1041.0,1995.0,Townhouse,13/06/2021,2021-06-07,899000.0
R2584222,1850000.0,3.0,2.0,"2175 W 13th Ave, Vancouver, BC, Canada",1651.0,0.0,6992.0,1210.0,1910.0,SingleFamily,31/05/2021,2021-05-24,1998000.0
R2584459,1325000.0,3.0,2.0,"4236 Inverness St, Vancouver, BC, Canada",1242.0,0.0,3788.0,965.0,2011.0,MultiFamily,31/05/2021,2021-05-24,1199000.0
R2587822,1335000.0,4.0,3.0,"1885 E 13th Ave, Vancouver, BC, Canada",1500.0,0.0,4445.0,866.0,2005.0,MultiFamily,02/06/2021,2021-05-31,1299000.0
R2582901,1475000.0,4.0,2.0,"5186 Somerville St, Vancouver, BC, Canada",1702.0,0.0,4854.0,910.0,1946.0,SingleFamily,02/06/2021,2021-05-16,1550000.0
R2584858,1585000.0,4.0,2.0,"5942 Clarendon St, Vancouver, BC, Canada",2336.0,0.0,4921.0,658.0,1963.0,SingleFamily,02/06/2021,2021-05-24,1538000.0
R2585740,1385000.0,2.0,2.0,"2305 W 10th Ave, Vancouver, BC, Canada",1201.0,0.0,2788.0,1082.0,1996.0,Townhouse,02/06/2021,2021-05-26,1299900.0
R2598629,1002000.0,2.0,1.0,"2565 W Broadway, Vancouver, BC, Canada",878.0,0.0,2388.0,1024.0,1995.0,Townhouse,12/07/2021,2021-07-04,899800.0
R2586971,1280000.0,2.0,2.0,"272 Waterford Dr, Vancouver, BC, Canada",1797.0,0.0,3335.0,667.0,1988.0,Townhouse,02/06/2021,2021-05-30,1199000.0
R2585134,2000001.0,7.0,3.0,"3750 W 16th Ave, Vancouver, BC, Canada",2596.0,0.0,6506.0,805.0,1927.0,SingleFamily,02/06/2021,2021-05-25,2090000.0
R2585313,1455000.0,4.0,2.0,"3061 E 18th Ave, Vancouver, BC, Canada",2172.0,0.0,4901.0,690.0,1946.0,SingleFamily,05/06/2021,2021-05-25,1499000.0
R2574860,5150000.0,6.0,5.0,"2395 W 22nd Ave, Vancouver, BC, Canada",4139.0,0.0,16859.0,1350.0,2015.0,SingleFamily,05/06/2021,2021-05-02,5590000.0
R2588017,3260000.0,6.0,3.0,"1963 W 1st Ave, Vancouver, BC, Canada",2619.0,0.0,6114.0,1297.0,1912.0,SingleFamily,05/06/2021,2021-05-31,3398000.0
R2561461,1350000.0,7.0,2.0,"1716 E 41St Ave, Vancouver, BC, Canada",2108.0,0.0,4393.0,635.0,1951.0,SingleFamily,05/06/2021,2021-04-04,1339800.0
R2582404,2350000.0,4.0,4.0,"2150 W 3rd Ave, Vancouver, BC, Canada",1960.0,0.0,5970.0,1274.0,2014.0,MultiFamily,06/06/2021,2021-05-16,2498000.0
R2586928,1980000.0,6.0,4.0,"859 E 62nd Ave, Vancouver, BC, Canada",2248.0,0.0,6114.0,889.0,2003.0,SingleFamily,05/06/2021,2021-05-30,1999000.0
R2585864,2675000.0,2.0,2.0,"8 Smithe Mews, Vancouver, BC, Canada",1982.0,0.0,7004.0,1406.0,2009.0,Townhouse,07/06/2021,2021-05-26,2788000.0
R2587796,1544000.0,3.0,2.0,"4001 Clark Dr, Vancouver, BC, Canada",1482.0,0.0,3125.0,943.0,9999.0,SingleFamily,07/06/2021,2021-05-31,1399000.0
R2586375,2020000.0,3.0,3.0,"1439 W 64th Ave, Vancouver, BC, Canada",2188.0,0.0,6579.0,904.0,1990.0,SingleFamily,07/06/2021,2021-05-25,1980000.0
R2589729,905000.0,2.0,1.0,"1280 W 8th Ave, Vancouver, BC, Canada",1132.0,0.0,2024.0,776.0,1986.0,Townhouse,07/06/2021,2021-06-06,879000.0
R2633279,491500.0,1.0,1.0,"8430 Jellicoe St, Vancouver, BC, Canada",702.0,1.0,1233.0,712.0,1995.0,Condo,23/11/2021,2021-11-14,499900.0
R2587921,1921000.0,3.0,2.0,"822 E 22nd Ave, Vancouver, BC, Canada",2086.0,0.0,6052.0,919.0,1913.0,SingleFamily,07/06/2021,2021-05-31,1919000.0
R2587089,1760000.0,6.0,2.0,"5186St. Catherines St, Vancouver, BC, Canada",2193.0,0.0,4175.0,820.0,1929.0,SingleFamily,07/06/2021,2021-05-30,1799000.0
R2571281,2410000.0,4.0,2.0,"2159 W 45th Ave, Vancouver, BC, Canada",2875.0,0.0,8748.0,866.0,1912.0,SingleFamily,09/06/2021,2021-04-25,2490000.0
R2587159,2340000.0,3.0,3.0,"372 E 34th Ave, Vancouver, BC, Canada",1926.0,0.0,5690.0,1032.0,2007.0,SingleFamily,08/06/2021,2021-05-30,1988000.0
R2584291,1650000.0,5.0,3.0,"3423 E 5th Ave, Vancouver, BC, Canada",2244.0,0.0,5862.0,712.0,2002.0,SingleFamily,09/06/2021,2021-05-24,1599000.0
R2579687,1412000.0,4.0,3.0,"4616 Reid St, Vancouver, BC, Canada",1782.0,0.0,4713.0,802.0,1935.0,SingleFamily,09/06/2021,2021-05-11,1430000.0
R2588461,3250000.0,3.0,2.0,"4641 W 12Th Ave, Vancouver, BC, Canada",1682.0,0.0,9403.0,1782.0,1923.0,SingleFamily,09/06/2021,2021-06-01,2998000.0
R2583837,1710000.0,6.0,2.0,"468 43Rd Ave E, Vancouver, BC, Canada",2446.0,0.0,6272.0,694.0,1975.0,SingleFamily,11/06/2021,2021-05-20,1699000.0
R2591127,2180000.0,6.0,4.0,"668 E 29th Ave, Vancouver, BC, Canada",2863.0,0.0,7546.0,803.0,1985.0,SingleFamily,10/06/2021,2021-06-08,2300000.0
R2591630,7000000.0,4.0,2.0,"1650 Avondale Ave, Vancouver, BC, Canada",4268.0,0.0,31157.0,1639.0,1926.0,SingleFamily,10/06/2021,2021-06-09,6998000.0
R2550204,1330000.0,5.0,2.0,"4016 Rupert St, Vancouver, BC, Canada",1970.0,0.0,4821.0,507.0,1912.0,SingleFamily,11/06/2021,2021-03-06,999000.0
R2580671,1860000.0,6.0,4.0,"3237 Matapan Cres, Vancouver, BC, Canada",2822.0,0.0,6557.0,669.0,2002.0,SingleFamily,11/06/2021,2021-05-12,1890000.0
R2571012,5000000.0,6.0,4.0,"3918 W 12th Ave, Vancouver, BC, Canada",3700.0,0.0,15903.0,1427.0,1996.0,SingleFamily,10/06/2021,2021-04-20,5280000.0
R2588846,2380000.0,3.0,1.0,"625 W 22nd Ave, Vancouver, BC, Canada",2105.0,0.0,7940.0,1186.0,9999.0,SingleFamily,10/06/2021,2021-06-02,2498000.0
R2585820,1580000.0,4.0,2.0,"636 E 50th Ave, Vancouver, BC, Canada",1888.0,0.0,5605.0,846.0,1910.0,SingleFamily,11/06/2021,2021-05-26,1599000.0
R2590887,1320000.0,3.0,2.0,"3192 Queens Ave, Vancouver, BC, Canada",2384.0,0.0,4798.0,534.0,1969.0,SingleFamily,13/06/2021,2021-06-07,1275000.0
R2589619,5200000.0,3.0,2.0,"3388 W 1St Ave, Vancouver, BC, Canada",3085.0,0.0,12993.0,1774.0,2009.0,SingleFamily,13/06/2021,2021-06-06,5475000.0
R2577712,3800000.0,5.0,5.0,"6060 Chancellor Blvd, Vancouver, BC, Canada",3845.0,0.0,4634.0,1037.0,2009.0,MultiFamily,13/06/2021,2021-05-04,3990000.0
R2583725,999900.0,3.0,2.0,"2248 Grant St, Vancouver, BC, Canada",1044.0,1.0,1859.0,957.0,2021.0,MultiFamily,13/06/2021,2021-05-19,999900.0
R2583503,2200000.0,6.0,3.0,"3843 Marine Dr Sw, Vancouver, BC, Canada",3177.0,0.0,6954.0,692.0,1942.0,SingleFamily,13/06/2021,2021-05-18,2199988.0
R2590279,4380000.0,9.0,8.0,"5687 Olympic St, Vancouver, BC, Canada",5054.0,0.0,13818.0,866.0,2017.0,SingleFamily,13/06/2021,2021-06-07,4380000.0
R2590605,1695000.0,7.0,4.0,"3053 Copley St, Vancouver, BC, Canada",2304.0,0.0,5674.0,637.0,1953.0,SingleFamily,14/06/2021,2021-06-06,1468000.0
R2590125,1840000.0,5.0,2.0,"3076 E 7th Ave, Vancouver, BC, Canada",2505.0,0.0,5118.0,678.0,1960.0,SingleFamily,14/06/2021,2021-06-06,1699000.0
R2590346,2055000.0,2.0,2.0,"608 Union St, Vancouver, BC, Canada",1729.0,0.0,6101.0,982.0,1976.0,SingleFamily,14/06/2021,2021-06-07,1699000.0
R2589922,1855000.0,4.0,4.0,"6150 Prince Albert St, Vancouver, BC, Canada",2433.0,0.0,5887.0,739.0,1993.0,SingleFamily,14/06/2021,2021-06-06,1799000.0
R2574331,615000.0,1.0,1.0,"1331 W Georgia St, Vancouver, BC, Canada",528.0,1.0,1612.0,1208.0,1997.0,Condo,14/06/2021,2021-04-29,638000.0
R2591198,2650000.0,5.0,3.0,"844 E 22nd Ave, Vancouver, BC, Canada",3059.0,0.0,8094.0,800.0,1929.0,SingleFamily,14/06/2021,2021-06-08,2450000.0
R2589532,1065000.0,2.0,1.0,"1614 Maple St, Vancouver, BC, Canada",1025.0,0.0,2603.0,951.0,1984.0,Townhouse,14/06/2021,2021-06-06,975000.0
R2571886,5950000.0,6.0,5.0,"3308 Trutch St, Vancouver, BC, Canada",4609.0,0.0,17298.0,1349.0,2015.0,SingleFamily,14/06/2021,2021-04-25,6218181.0
R2522457,7038000.0,6.0,6.0,"6996 Angus Dr, Vancouver, BC, Canada",6061.0,0.0,29270.0,1267.0,2010.0,SingleFamily,16/06/2021,2020-12-07,7680000.0
R2589359,1480000.0,4.0,3.0,"3178 Pierview Cres, Vancouver, BC, Canada",1671.0,0.0,3540.0,932.0,2012.0,Townhouse,17/06/2021,2021-06-03,1558800.0
R2591703,665000.0,2.0,1.0,"719 E 31st Ave, Vancouver, BC, Canada",748.0,0.0,1279.0,922.0,1979.0,Townhouse,16/06/2021,2021-06-09,690000.0
R2550251,6490000.0,3.0,3.0,"3642 Cameron Ave, Vancouver, BC, Canada",2773.0,0.0,13076.0,2703.0,1910.0,SingleFamily,16/06/2021,2021-03-11,7498000.0
R2590747,2680000.0,6.0,2.0,"2091 W 59th Ave, Vancouver, BC, Canada",2494.0,0.0,8578.0,1001.0,1944.0,SingleFamily,16/06/2021,2021-06-07,2498000.0
R2587823,5900000.0,5.0,4.0,"1310 Arbutus St, Vancouver, BC, Canada",2480.0,0.0,15315.0,2821.0,2011.0,SingleFamily,16/06/2021,2021-05-31,6998000.0
R2593136,3580000.0,4.0,3.0,"4408 W 14th Ave, Vancouver, BC, Canada",2711.0,0.0,10046.0,1327.0,2010.0,SingleFamily,16/06/2021,2021-06-14,3598000.0
R2590004,1800000.0,5.0,3.0,"3128 Windermere St, Vancouver, BC, Canada",2766.0,0.0,6281.0,686.0,1990.0,SingleFamily,17/06/2021,2021-06-06,1899000.0
R2591419,4560000.0,5.0,5.0,"6788 Osler St, Vancouver, BC, Canada",4520.0,0.0,13987.0,880.0,1999.0,SingleFamily,18/06/2021,2021-06-09,3980000.0
R2579201,1890000.0,3.0,2.0,"26 E 47Th Ave, Vancouver, BC, Canada",1340.0,0.0,6339.0,1477.0,1912.0,SingleFamily,19/06/2021,2021-05-10,1980000.0
R2586457,3760000.0,6.0,6.0,"7550 Arbutus St, Vancouver, BC, Canada",4354.0,0.0,10867.0,916.0,1993.0,SingleFamily,18/06/2021,2021-05-27,3990000.0
R2593019,1298000.0,3.0,2.0,"1412 Victoria Dr, Vancouver, BC, Canada",1488.0,0.0,4526.0,872.0,1912.0,SingleFamily,18/06/2021,2021-06-13,1298000.0
R2580760,985000.0,2.0,1.0,"2475 York Ave, Vancouver, BC, Canada",936.0,2.0,2748.0,1035.0,1974.0,Condo,18/06/2021,2021-05-13,969000.0
R2591252,4700000.0,8.0,6.0,"3708 W 2nd Ave, Vancouver, BC, Canada",3944.0,0.0,14046.0,1217.0,2017.0,SingleFamily,18/06/2021,2021-06-08,4800000.0
R2564961,1950000.0,5.0,2.0,"3305 W 10th Ave, Vancouver, BC, Canada",1945.0,2.0,6328.0,1110.0,1927.0,SingleFamily,18/06/2021,2021-04-12,2159000.0
R2585715,775000.0,2.0,1.0,"2020 W 8th Ave, Vancouver, BC, Canada",776.0,0.0,1725.0,1029.0,1989.0,Townhouse,19/06/2021,2021-05-25,799000.0
R2593827,3600000.0,5.0,4.0,"2768 W 18th Ave, Vancouver, BC, Canada",3436.0,0.0,10273.0,1129.0,1993.0,SingleFamily,21/06/2021,2021-06-16,3880000.0
R2592737,1165000.0,3.0,2.0,"3793 Maxwell St, Vancouver, BC, Canada",1236.0,0.0,2762.0,961.0,2009.0,Townhouse,20/06/2021,2021-06-13,1188000.0
R2573343,2220000.0,6.0,7.0,"4753 Gladstone St, Vancouver, BC, Canada",2746.0,0.0,5403.0,836.0,2017.0,SingleFamily,21/06/2021,2021-04-26,2298000.0
R2590914,3900000.0,3.0,2.0,"1108 W 39Th Ave, Vancouver, BC, Canada",3270.0,0.0,12172.0,1223.0,1947.0,SingleFamily,20/06/2021,2021-06-08,3999900.0
R2592666,1680000.0,4.0,2.0,"5301 Bruce St, Vancouver, BC, Canada",2336.0,0.0,5155.0,641.0,1974.0,SingleFamily,20/06/2021,2021-06-13,1499000.0
