mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2899057,480000.0,1,1,"15265 Roper Ave, White Rock, BC, Canada",693.0,1,1608.0,611.0,1974.0,Condo,26/06/2024,2024-06-25,424000.0
R2898776,1700000.0,2,2,"1501 Vidal St, White Rock, BC, Canada",1288.0,2,5488.0,1303.0,2017.0,Condo,25/06/2024,2024-06-24,1679000.0
R2881426,517500.0,1,1,"1488 Merklin St, White Rock, BC, Canada",1041.0,1,2051.0,509.0,1991.0,Condo,24/06/2024,2024-05-08,529900.0
R2897027,525000.0,2,2,"1467 Best St, White Rock, BC, Canada",970.0,1,2059.0,555.0,1990.0,Condo,22/06/2024,2024-06-18,538900.0
R2894154,477000.0,2,1,"1330 Martin St, White Rock, BC, Canada",828.0,1,1892.0,573.0,1974.0,Condo,22/06/2024,2024-06-18,474800.0
R2889259,970000.0,2,2,"15165 Thrift Ave, White Rock, BC, Canada",985.0,1,3485.0,1014.0,2020.0,Condo,20/06/2024,2024-06-02,999000.0
R2895114,589000.0,2,2,"1531 Merklin St, White Rock, BC, Canada",1066.0,1,2041.0,552.0,1981.0,Condo,19/06/2024,2024-06-13,589000.0
R2887197,588000.0,2,1,"15991 Thrift Ave, White Rock, BC, Canada",881.0,1,2567.0,702.0,1990.0,Condo,19/06/2024,2024-05-26,619000.0
R2894439,500000.0,2,2,"1459 Blackwood St, White Rock, BC, Canada",1040.0,1,2011.0,489.0,1987.0,Condo,19/06/2024,2024-06-12,509000.0
R2892564,688800.0,1,1,"1501 Foster St, White Rock, BC, Canada",687.0,0,2842.0,1048.0,2021.0,Condo,18/06/2024,2024-06-09,720000.0
R2886597,1085000.0,2,2,"15445 Vine Ave, White Rock, BC, Canada",1382.0,2,4465.0,795.0,2005.0,Condo,18/06/2024,2024-05-23,1099000.0
R2886766,1925000.0,6,4,"15571 Goggs Ave, White Rock, BC, Canada",2978.0,3,8098.0,664.0,2016.0,SingleFamily,17/06/2024,2024-05-23,1979999.0
R2891453,880000.0,2,2,"1333 Winter St, White Rock, BC, Canada",987.0,1,3226.0,910.0,2013.0,Condo,17/06/2024,2024-06-05,899000.0
R2888978,520000.0,2,1,"1561 Vidal St, White Rock, BC, Canada",1091.0,1,2139.0,484.0,1974.0,Condo,15/06/2024,2024-05-29,529000.0
