,Unnamed: 0,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
0,0,Condo Apt,"$1,531",800-899 sqft,Undergrnd,$576,X3345601,,Apartment,,$283,"221 - 738 29th Ave E, Vancouver, BC",2.0,2.0,1.0,21/10/2015,"$489,999",02/11/2015,"$480,000"
1,1,Condo Apt,"$1,651",600-699 sqft,Undergrnd,$736,X3319743,,Apartment,,$294,"303 - 1680 4th Ave W, Vancouver, BC",1.0,1.0,1.0,21/09/2015,"$479,000",04/01/2016,"$478,000"
2,2,Condo Apt,"$3,118",1200-1399 sqft,Undergrnd,"$1,152",X3562176,,Apartment,,$459,"315 - 2118 Canada Pl, Vancouver, BC",3.0,2.0,1.0,25/07/2016,"$1,498,000",23/10/2016,"$1,425,000"
3,3,Condo Apt,$767,0-499 sqft,Undergrnd,$438,X3137319,,Apartment,,$230,"303 - 2234 Canada Pl, Vancouver, BC",1.0,1.0,1.0,11/03/2015,"$219,000",05/04/2015,"$215,000"
4,4,Cottage,$985,1100-1500 sqft,,$346,X4210786,181 feet x 675 feet,1 1/2 Storey,,,"Lot 339 Section I, Vancouver, BC",4.0,4.0,0.0,04/08/2018,"$450,000",04/11/2018,"$350,000"
5,5,Condo Apt,"$3,196",1400-1599 sqft,Undergrnd,$653,X3479723,,Apartment,,$513,"308 - 3755 8th Ave W, Vancouver, BC",2.0,2.0,2.0,29/04/2016,"$980,000",09/05/2016,"$1,450,000"
6,6,Detached,"$1,748",-,,,X3516649,166.15 feet x 179.51 feet,Bungalow,,,"923 West Blvd, Vancouver, BC",1.0,2.0,4.0,06/06/2016,"$499,000",26/06/2016,"$499,000"
7,7,Detached,"$9,621",-,Detached,,X3424192,57.9 feet x 130.25 feet,1 1/2 Storey,,,"3792 Canada Pl, Vancouver, BC",3.0,4.0,0.0,26/02/2016,"$3,990,000",25/02/2016,"$4,070,000"
8,8,Single Family Residence,"$12,336",2600 sqft,No,"$2,223",R2559132,,Residential,1942.0,,"550 W 29th Ave, Vancouver, BC",2.0,4.0,0.0,29/03/2021,"$5,780,000",15/04/2021,"$5,580,000"
9,9,Townhouse,"$5,737",1565 sqft,Yes,"$1,463",R2527077,,Residential,2018.0,,"105 - 1678 Pullman Porter St, Vancouver, BC",3.0,2.0,2.0,07/01/2021,"$2,290,000",31/03/2021,"$2,200,000"
10,10,Single Family Residence,"$10,150",1947 sqft,No,"$2,568",R2557863,,Residential,1941.0,,"577 W 27th Ave, Vancouver, BC",2.0,3.0,0.0,24/03/2021,"$5,000,000",04/04/2021,"$4,550,000"
11,11,Single Family Residence,"$12,792",3326 sqft,No,"$1,503",R2557857,,Residential,1943.0,,"547 W 27th Ave, Vancouver, BC",3.0,5.0,0.0,24/03/2021,"$5,000,000",04/04/2021,"$4,550,000"
12,12,Single Family Residence,"$5,354",1986 sqft,No,"$1,132",R2797465,,Residential,1927.0,,"734 E 41st Ave, Vancouver, BC",3.0,7.0,4.0,09/07/2023,"$2,250,000",-,-
13,13,Single Family Residence,"$21,845",4085 sqft,Yes,"$1,561",R2559154,,Residential,2012.0,,"560 W 29th Ave, Vancouver, BC",3.0,5.0,0.0,29/03/2021,"$6,380,000",15/04/2021,"$5,280,000"
14,14,Single Family Residence,"$6,013",2249 sqft,Yes,$799,R2543744,,Residential,1991.0,,"1965 E 37th Ave, Vancouver, BC",4.0,5.0,0.0,26/02/2021,"$1,799,000",11/04/2021,"$1,760,000"
15,15,Single Family Residence,"$8,896",3500 sqft,Yes,$396,R2561249,,Residential,1973.0,,"4247 Musqueam Dr, Vancouver, BC",2.0,3.0,0.0,05/04/2021,"$1,388,000",13/04/2021,"$1,705,000"
16,16,Townhouse,"$4,207",1590 sqft,Yes,"$1,093",R2574473,,Residential,2017.0,,"593 King Edward Ave W, Vancouver, BC",2.0,3.0,0.0,29/04/2021,"$1,738,000",05/05/2021,"$1,695,000"
17,17,Multi Family,"$5,441",1657 sqft,No,$843,R2545989,,Residential,2021.0,,"5150 Slocan St, Vancouver, BC",4.0,3.0,0.0,01/03/2021,"$1,398,000",04/05/2021,"$1,360,000"
18,18,Single Family Residence,,3391 sqft,Yes,$427,R2796172,,Residential,1969.0,,"1 Sennok Cres, Vancouver, BC",4.0,8.0,6.0,05/07/2023,"$1,449,000",04/08/2023,"$1,400,000"
19,19,Single Family Residence,"$20,878",3413 sqft,Yes,"$1,406",R2567782,,Residential,1955.0,,"1896 Wesbrook Cres, Vancouver, BC",2.0,5.0,0.0,02/03/2021,"$4,800,000",05/05/2021,"$5,111,111"
20,20,Single Family Residence,"$13,709",4747 sqft,No,$968,R2556575,,Residential,1912.0,,"6268 Collingwood St, Vancouver, BC",3.0,5.0,0.0,23/03/2021,"$4,598,000",03/05/2021,"$4,575,000"
21,21,Apartment/Condominium,,1515 sqft,Yes,"$2,508",R2577871,,Residential,2024.0,,"504 - 2105 W 46 Th Ave, Vancouver, BC",3.0,3.0,1.0,05/05/2021,"$3,800,000",06/05/2021,"$3,800,000"
22,22,Multi Family,"$4,859",1507 sqft,Yes,"$1,160",R2890493,,Residential,2021.0,,"1751 14 Th Ave E, Vancouver, BC",3.0,3.0,2.0,02/06/2024,"$1,749,000",10/06/2024,"$1,738,000"
23,23,Single Family Residence,"$12,330",4842 sqft,No,"$1,216",R2570731,,Residential,2013.0,,"3522 W 36 Th Ave, Vancouver, BC",4.0,5.0,0.0,22/04/2021,"$5,890,000",04/05/2021,"$5,538,000"
24,24,Townhouse,"$4,046",1587 sqft,Yes,"$1,178",R2578590,,Residential,1998.0,,"1039 Expo Blvd, Vancouver, BC",2.0,2.0,0.0,09/05/2021,"$1,869,900",15/05/2021,"$1,820,000"
25,25,Townhouse,"$2,211",1401 sqft,Yes,$606,R2576702,,Residential,1997.0,,"3426 Terra Vita Pl, Vancouver, BC",2.0,3.0,0.0,03/05/2021,"$849,900",16/05/2021,"$850,000"
26,26,Single Family Residence,"$4,926",2268 sqft,Yes,$903,R2575789,,Residential,1968.0,,"4928 Earles St, Vancouver, BC",2.0,3.0,0.0,30/04/2021,"$2,050,000",16/05/2021,"$1,970,000"
27,27,Multi Family,"$8,203",1104 sqft,Yes,"$1,356",R2573823,,Residential,2021.0,,"260 E 17th Ave, Vancouver, BC",2.0,3.0,0.0,28/04/2021,"$1,498,000",16/05/2021,"$1,480,000"
28,28,Single Family Residence,"$8,151",2835 sqft,Yes,"$1,092",R2579407,,Residential,1940.0,,"1706 W 58th Ave, Vancouver, BC",2.0,4.0,0.0,10/05/2021,"$3,098,000",16/05/2021,"$3,079,000"
29,29,Single Family Residence,"$5,848",2504 sqft,Yes,$798,R2576408,,Residential,1909.0,,"50 E 12th Ave, Vancouver, BC",2.0,4.0,0.0,03/05/2021,"$1,998,800",17/05/2021,"$1,998,800"
30,30,Single Family Residence,"$6,424",1950 sqft,Yes,"$1,205",R2576647,,Residential,2011.0,,"77 E 33 Rd Ave, Vancouver, BC",4.0,4.0,0.0,04/05/2021,"$2,349,900",16/05/2021,"$2,299,900"
31,31,Single Family Residence,"$6,000",1547 sqft,No,$930,R2898259,,Residential,1983.0,,"6953 Arlington St, Vancouver, BC",2.0,3.0,4.0,23/06/2024,"$1,439,000",-,Not Sold Yet
32,32,Townhouse,"$4,014",1406 sqft,Yes,"$1,172",R2578654,,Residential,2004.0,,"2943 Laurel St, Vancouver, BC",2.0,3.0,0.0,09/05/2021,"$1,649,000",20/05/2021,"$1,615,000"
33,33,Townhouse,"$2,484",1414 sqft,Yes,$494,R2550933,,Residential,1978.0,,"706 Millyard, Vancouver, BC",1.0,2.0,0.0,14/03/2021,"$699,000",22/05/2021,"$650,000"
34,34,,,-,No,,R2596418,,Residential Lease,,,"4699 W 3 Rd Ave, Vancouver, BC",1.0,1.0,0.0,23/06/2021,"$1,800",30/06/2021,"$1,800"
35,35,Townhouse,,737 sqft,Yes,$932,R2578848,,Residential,2021.0,,"3629 Rae Ave, Vancouver, BC",2.0,2.0,0.0,09/05/2021,"$687,600",22/05/2021,"$687,600"
36,36,Single Family Residence,"$8,864",2701 sqft,Yes,"$1,214",R2577126,,Residential,2003.0,,"2082 W 47th Ave, Vancouver, BC",5.0,4.0,0.0,05/05/2021,"$3,280,000",20/05/2021,"$3,083,800"
37,37,Apartment/Condominium,"$1,840",615 sqft,Yes,"$1,230",R2583620,,Residential,2012.0,,"280 W 1st Ave, Vancouver, BC",1.0,1.0,1.0,19/05/2021,"$757,000",22/05/2021,"$773,000"
38,38,Multi Family,,1618 sqft,Yes,"$1,066",R2581793,,Residential,2021.0,,"2319 Parker St, Vancouver, BC",3.0,4.0,0.0,16/05/2021,"$1,725,000",22/05/2021,"$1,715,000"
39,39,Townhouse,"$2,499",1403 sqft,Yes,$682,R2568119,,Residential,2015.0,,"5157 W 4 Th Ave, Vancouver, BC",2.0,3.0,0.0,18/04/2021,"$958,000",21/05/2021,"$940,000"
40,40,Single Family Residence,"$7,215",2725 sqft,No,$917,R2583011,,Residential,1941.0,,"2092 W 57th Ave, Vancouver, BC",2.0,5.0,3.0,18/05/2021,"$2,499,000",26/05/2021,"$2,350,000"
41,41,Townhouse,"$3,065",1243 sqft,Yes,$602,R2578837,,Residential,1990.0,,"1721 Island Ave, Vancouver, BC",1.0,2.0,0.0,09/05/2021,"$749,000",26/05/2021,"$749,000"
42,42,Single Family Residence,"$8,511",3307 sqft,Yes,"$1,164",R2582860,,Residential,1912.0,,"4424 W 8th Ave, Vancouver, BC",4.0,6.0,0.0,18/05/2021,"$3,850,000",25/05/2021,"$3,935,000"
43,43,Townhouse,"$3,390",1485 sqft,No,$537,R2571951,,Residential,1976.0,,"609 Stamps Landing, Vancouver, BC",2.0,2.0,0.0,25/04/2021,"$798,000",25/05/2021,"$760,000"
44,44,Single Family Residence,"$5,011",1862 sqft,Yes,$832,R2579876,,Residential,1945.0,,"5205 Ross St, Vancouver, BC",2.0,4.0,0.0,09/05/2021,"$1,550,000",25/05/2021,"$1,515,000"
45,45,Townhouse,"$2,899",1439 sqft,Yes,$826,R2572693,,Residential,2004.0,,"3264 Clermont Mews, Vancouver, BC",2.0,3.0,0.0,25/04/2021,"$1,189,000",25/05/2021,"$1,149,000"
46,46,Single Family Residence,"$6,006",3086 sqft,Yes,$774,R2570216,,Residential,1984.0,,"5794 St Margarets St, Vancouver, BC",3.0,5.0,0.0,21/04/2021,"$2,388,888",26/05/2021,"$2,150,000"
47,47,Single Family Residence,"$8,246",4027 sqft,Yes,$645,R2582693,,Residential,2012.0,,"6468 Bruce St, Vancouver, BC",7.0,9.0,0.0,18/05/2021,"$2,598,000",26/05/2021,"$2,533,000"
48,48,Single Family Residence,"$9,006",2895 sqft,Yes,"$1,239",R2586058,,Residential,2015.0,,"2721 W 14th Ave, Vancouver, BC",5.0,5.0,0.0,26/05/2021,"$3,588,000",30/05/2021,"$3,600,000"
49,49,Single Family Residence,"$7,363",2785 sqft,No,$897,R2582446,,Residential,1912.0,,"1224 Lakewood Dr, Vancouver, BC",3.0,6.0,0.0,17/05/2021,"$2,499,900",28/05/2021,"$2,499,900"
50,50,Single Family Residence,"$7,238",2286 sqft,Yes,"$1,181",R2580780,,Residential,1958.0,,"6368 Laburnum St, Vancouver, BC",2.0,4.0,0.0,12/05/2021,"$2,699,800",29/05/2021,"$2,618,000"
