,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
0,"106 - 15265 Roper Ave, White Rock, BC",1,1,693 sqft,,1,"$1,608",1974,R2899057,Residential,Yes,,$611,26/06/2024,"$480,000",25/06/2024,"$424,000",Apartment/Condominium
1,"308 - 1501 Vidal St, White Rock, BC",2,2,1288 sqft,,2,"$5,488",2017,R2898776,Residential,Yes,,"$1,303",25/06/2024,"$1,700,000",24/06/2024,"$1,679,000",Apartment/Condominium
2,"104 - 1488 Merklin St, White Rock, BC",1,1,1041 sqft,,1,"$2,051",1991,R2881426,Residential,Yes,,$509,24/06/2024,"$517,500",08/05/2024,"$529,900",Apartment/Condominium
3,"201 - 1467 Best St, White Rock, BC",2,2,970 sqft,,1,"$2,059",1990,R2897027,Residential,Yes,,$555,22/06/2024,"$525,000",18/06/2024,"$538,900",Apartment/Condominium
4,"302 - 1330 Martin St, White Rock, BC",2,1,828 sqft,,1,"$1,892",1974,R2894154,Residential,Yes,,$573,22/06/2024,"$477,000",18/06/2024,"$474,800",Apartment/Condominium
5,"601 - 15165 Thrift Ave, White Rock, BC",2,2,985 sqft,,1,"$3,485",2020,R2889259,Residential,Yes,,"$1,014",20/06/2024,"$970,000",02/06/2024,"$999,000",Apartment/Condominium
6,"206 - 1531 Merklin St, White Rock, BC",2,2,1066 sqft,,1,"$2,041",1981,R2895114,Residential,Yes,,$552,19/06/2024,"$589,000",13/06/2024,"$589,000",Apartment/Condominium
7,"401 - 15991 Thrift Ave, White Rock, BC",2,1,881 sqft,,1,"$2,567",1990,R2887197,Residential,Yes,,$702,19/06/2024,"$588,000",26/05/2024,"$619,000",Apartment/Condominium
8,"200 - 1459 Blackwood St, White Rock, BC",2,2,1040 sqft,,1,"$2,011",1987,R2894439,Residential,Yes,,$489,19/06/2024,"$500,000",12/06/2024,"$509,000",Apartment/Condominium
9,"503 - 1501 Foster St, White Rock, BC",1,1,687 sqft,,0,"$2,842",2021,R2892564,Residential,Yes,,"$1,048",18/06/2024,"$688,800",09/06/2024,"$720,000",Apartment/Condominium
10,"501 - 15445 Vine Ave, White Rock, BC",2,2,1382 sqft,,2,"$4,465",2005,R2886597,Residential,Yes,,$795,18/06/2024,"$1,085,000",23/05/2024,"$1,099,000",Apartment/Condominium
11,"15571 Goggs Ave, White Rock, BC",6,4,2978 sqft,,3,"$8,098",2016,R2886766,Residential,Yes,,$664,17/06/2024,"$1,925,000",23/05/2024,"$1,979,999",Single Family Residence
12,"205 - 1333 Winter St, White Rock, BC",2,2,987 sqft,,1,"$3,226",2013,R2891453,Residential,Yes,,$910,17/06/2024,"$880,000",05/06/2024,"$899,000",Apartment/Condominium
13,"306 - 1561 Vidal St, White Rock, BC",2,1,1091 sqft,,1,"$2,139",1974,R2888978,Residential,Yes,,$484,15/06/2024,"$520,000",29/05/2024,"$529,000",Apartment/Condominium
14,"107 - 1360 Martin St, White Rock, BC",2,2,946 sqft,,0,"$1,898",1973,R2872003,Residential,Yes,,$528,14/06/2024,"$475,000",17/04/2024,"$499,900",Apartment/Condominium
15,"312 - 1119 Vidal St, White Rock, BC",2,2,1045 sqft,,1,"$2,495",1997,R2880512,Residential,Yes,,$622,13/06/2024,"$630,500",06/05/2024,"$650,000",Apartment/Condominium
16,"7 - 14985 Victoria Ave, White Rock, BC",3,2,1821 sqft,,2,"$3,931",1982,R2883712,Residential,No,,$707,12/06/2024,"$1,200,000",19/05/2024,"$1,288,000",Townhouse
17,"302 - 15367 Buena Vista Ave, White Rock, BC",2,2,1362 sqft,,1,"$2,977",1990,R2860628,Residential,Yes,,$586,12/06/2024,"$775,000",14/03/2024,"$799,000",Apartment/Condominium
18,"603 - 1551 Foster St, White Rock, BC",2,2,1274 sqft,,1,"$3,238",2005,R2883872,Residential,Yes,,$667,11/06/2024,"$845,000",14/05/2024,"$849,900",Apartment/Condominium
19,"1108 - 1441 Johnston Rd, White Rock, BC",2,2,973 sqft,,1,"$4,020",2020,R2887718,Residential,Yes,,"$1,305",07/06/2024,"$1,232,000",27/05/2024,"$1,270,000",Apartment/Condominium
20,"105 - 15265 Roper Ave, White Rock, BC",2,1,932 sqft,,1,"$1,998",1974,R2888696,Residential,Yes,,$563,06/06/2024,"$551,000",27/05/2024,"$524,800",Apartment/Condominium
21,"507 - 14855 Thrift Ave, White Rock, BC",2,2,1054 sqft,,2,"$3,826",2015,R2886321,Residential,Yes,,$928,06/06/2024,"$967,500",23/05/2024,"$979,000",Apartment/Condominium
22,"1227 Finlay St, White Rock, BC",3,2,1594 sqft,,6,"$5,475",1985,R2884071,Residential,Yes,,$940,05/06/2024,"$1,465,000",15/05/2024,"$1,499,900",Single Family Residence
23,"13615 Marine Dr, White Rock, BC",0,0,2110 sqft,,6,"$6,928",1978,R2887451,Residential,Yes,,$710,05/06/2024,"$1,595,000",26/05/2024,"$1,499,000",Single Family Residence
24,"104 - 14855 Thrift Ave, White Rock, BC",1,1,950 sqft,,1,"$2,804",2014,R2859737,Residential,Yes,,$806,04/06/2024,"$750,000",13/03/2024,"$765,900",Apartment/Condominium
25,"15586 Columbia Ave, White Rock, BC",2,1,1314 sqft,,2,"$4,638",1930,R2886687,Residential,No,,$866,01/06/2024,"$1,118,000",21/05/2024,"$1,138,000",Single Family Residence
26,"13901 Malabar Ave, White Rock, BC",5,3,2649 sqft,,6,"$7,058",1969,R2886659,Residential,Yes,,$585,01/06/2024,"$1,550,000",20/05/2024,"$1,550,000",Single Family Residence
27,"206 - 1355 Fir St, White Rock, BC",1,1,829 sqft,,1,"$1,617",1970,R2846874,Residential,Yes,,$542,01/06/2024,"$440,000",04/02/2024,"$449,900",Apartment/Condominium
28,"303 - 1526 George St, White Rock, BC",2,1,898 sqft,,1,"$2,059",1979,R2869979,Residential,Yes,,$578,30/05/2024,"$515,000",09/04/2024,"$519,900",Apartment/Condominium
29,"15651 Thrift Ave, White Rock, BC",2,1,1070 sqft,,4,"$5,591",1958,R2876569,Residential,Yes,,$933,28/05/2024,"$1,100,000",29/04/2024,"$999,000",Single Family Residence
30,"212 - 14022 N Bluff Rd, White Rock, BC",2,2,866 sqft,,2,"$3,375",2019,R2848658,Residential,Yes,,$922,27/05/2024,"$755,000",12/02/2024,"$799,000",Apartment/Condominium
31,"8 - 14820 Buena Vista Ave, White Rock, BC",1,1,506 sqft,,1,"$2,055",2017,R2877998,Residential,Yes,,$986,26/05/2024,"$490,000",30/04/2024,"$499,000",Apartment/Condominium
32,"111 - 1355 Winter St, White Rock, BC",2,2,978 sqft,,1,"$1,939",1981,R2884445,Residential,Yes,,$429,25/05/2024,"$419,900",21/05/2024,"$419,900",Apartment/Condominium
33,"101 - 1447 Best St, White Rock, BC",2,2,1050 sqft,,1,"$2,143",1989,R2867502,Residential,Yes,,$523,25/05/2024,"$533,000",08/04/2024,"$549,900",Apartment/Condominium
34,"222 - 1588 Best St, White Rock, BC",2,1,911 sqft,,2,"$2,182",1996,R2853143,Residential,Yes,,$592,24/05/2024,"$530,000",28/02/2024,"$540,000",Apartment/Condominium
35,"703 - 1501 Foster St, White Rock, BC",3,3,2060 sqft,,3,"$6,295",2022,R2862091,Residential,Yes,,"$1,043",21/05/2024,"$2,091,000",26/03/2024,"$2,149,000",Apartment/Condominium
36,"504 - 1526 Finlay St, White Rock, BC",2,2,976 sqft,,1,,2022,R2824151,Residential,Yes,,$922,20/05/2024,"$934,900",09/10/2023,"$899,900",Apartment/Condominium
37,"103 - 15165 Marine Dr, White Rock, BC",2,2,1159 sqft,,1,"$3,082",1989,R2883126,Residential,Yes,,$836,19/05/2024,"$969,000",13/05/2024,"$969,000",Apartment/Condominium
38,"204 - 1378 George St, White Rock, BC",2,2,1091 sqft,,1,"$2,216",1993,R2878507,Residential,Yes,,$577,19/05/2024,"$629,999",08/05/2024,"$629,999",Apartment/Condominium
39,"PH6 - 15389 Roper Ave, White Rock, BC",2,2,1020 sqft,,1,"$3,418",2011,R2873838,Residential,Yes,,$783,19/05/2024,"$780,000",21/04/2024,"$799,000",Apartment/Condominium
40,"1338 Stevens St, White Rock, BC",3,2,2052 sqft,,3,"$6,081",1972,R2883036,Residential,No,,$677,19/05/2024,"$1,313,000",14/05/2024,"$1,389,785",Single Family Residence
41,"305 - 15210 Pacific Ave, White Rock, BC",2,2,780 sqft,,1,"$2,128",1998,R2878262,Residential,Yes,,$717,19/05/2024,"$545,000",30/04/2024,"$560,000",Apartment/Condominium
42,"107 - 1153 Vidal St, White Rock, BC",2,2,1237 sqft,,1,"$2,876",1996,R2878879,Residential,Yes,,$621,17/05/2024,"$737,000",02/05/2024,"$769,000",Apartment/Condominium
43,"14732 Upper Roper Ave, White Rock, BC",4,3,4170 sqft,,3,"$13,000",1998,R2872369,Residential,Yes,,$812,17/05/2024,"$3,085,000",17/04/2024,"$3,388,000",Single Family Residence
44,"15999 Columbia Ave, White Rock, BC",4,5,4052 sqft,,6,"$10,272",2018,R2846245,Residential,Yes,,$663,17/05/2024,"$2,420,000",31/01/2024,"$2,688,000",Single Family Residence
45,"905 - 15152 Russell Ave, White Rock, BC",0,1,502 sqft,,1,"$1,761",2007,R2877084,Residential,Yes,,$994,16/05/2024,"$450,000",27/04/2024,"$499,000",Apartment/Condominium
46,"104 - 1341 George St, White Rock, BC",2,1,920 sqft,,1,"$1,895",1981,R2882846,Residential,Yes,,$531,15/05/2024,"$475,000",13/05/2024,"$489,000",Apartment/Condominium
47,"810 - 1526 Finlay St, White Rock, BC",2,2,1121 sqft,,1,"$3,878",2022,R2858065,Residential,Yes,,$891,15/05/2024,"$999,900",07/03/2024,"$999,900",Apartment/Condominium
48,"308 - 14965 Marine Dr, White Rock, BC",2,2,1235 sqft,,1,"$2,428",1994,R2880801,Residential,Yes,,$468,13/05/2024,"$560,000",07/05/2024,"$578,800",Apartment/Condominium
49,"312 - 1561 Vidal St, White Rock, BC",1,1,723 sqft,,1,"$1,699",1974,R2864402,Residential,Yes,,$564,12/05/2024,"$404,000",31/03/2024,"$408,000",Apartment/Condominium
50,"103 - 1575 Best St, White Rock, BC",2,2,1076 sqft,,1,"$2,415",1993,R2879335,Residential,Yes,,$566,12/05/2024,"$600,000",05/05/2024,"$609,900",Apartment/Condominium
51,"201 - 15213 Pacific Ave, White Rock, BC",3,2,1397 sqft,,1,"$2,811",1993,R2871565,Residential,Yes,,$608,12/05/2024,"$830,000",16/04/2024,"$850,000",Apartment/Condominium
52,"104 - 1450 Merklin St, White Rock, BC",2,2,1375 sqft,,2,"$2,499",1991,R2880227,Residential,Yes,,$507,12/05/2024,"$711,000",06/05/2024,"$698,000",Apartment/Condominium
53,"1906 - 15152 Russell Ave, White Rock, BC",2,2,953 sqft,,1,"$3,246",2008,R2880775,Residential,Yes,,$880,11/05/2024,"$836,800",07/05/2024,"$838,800",Apartment/Condominium
54,"TH2 - 1439 George St, White Rock, BC",2,2,1380 sqft,,2,"$3,881",2021,R2844036,Residential,Yes,,$978,10/05/2024,"$1,335,000",22/01/2024,"$1,350,000",Apartment/Condominium
55,"405 - 1526 Finlay St, White Rock, BC",2,2,1091 sqft,,2,"$3,774",2022,R2861404,Residential,Yes,,$916,10/05/2024,"$999,900",17/03/2024,"$999,900",Apartment/Condominium
56,"14684 W Beach Ave, White Rock, BC",4,3,3056 sqft,,3,"$9,345",1990,R2878114,Residential,Yes,,$555,07/05/2024,"$1,700,000",30/04/2024,"$1,699,000",Single Family Residence
57,"201 - 15747 Marine Dr, White Rock, BC",2,2,1205 sqft,,1,,2013,R2869238,Residential,Yes,,$912,07/05/2024,"$1,078,500",08/04/2024,"$1,099,000",Apartment/Condominium
58,"1906 - 1501 Foster St, White Rock, BC",1,1,806 sqft,,1,"$3,180",2022,R2864134,Residential,Yes,,"$1,103",07/05/2024,"$835,000",27/03/2024,"$889,800",Apartment/Condominium
59,"504 - 15466 N Bluff Rd, White Rock, BC",2,2,1710 sqft,,2,"$3,006",1996,R2872257,Residential,Yes,,$461,07/05/2024,"$775,000",16/04/2024,"$790,000",Apartment/Condominium
60,"403 - 15152 Russell Ave, White Rock, BC",1,1,787 sqft,,1,"$2,638",2008,R2873617,Residential,No,,$824,06/05/2024,"$629,500",20/04/2024,"$649,000",Apartment/Condominium
61,"1103 - 1441 Johnston Rd, White Rock, BC",2,2,930 sqft,,1,"$3,447",2020,R2879664,Residential,Yes,,$935,06/05/2024,"$869,900",05/05/2024,"$869,900",Apartment/Condominium
62,"212 - 15210 Pacific Ave, White Rock, BC",2,2,1335 sqft,,2,"$2,061",1999,R2877117,Residential,Yes,,$673,05/05/2024,"$899,649",29/04/2024,"$899,649",Apartment/Condominium
63,"207 - 1437 Foster St, White Rock, BC",2,1,1092 sqft,,1,"$2,143",1975,R2854662,Residential,Yes,,$502,05/05/2024,"$525,000",29/02/2024,"$549,000",Apartment/Condominium
64,"701 - 1526 Finlay St, White Rock, BC",2,2,1094 sqft,,2,"$3,788",2022,R2847691,Residential,Yes,,$942,05/05/2024,"$1,030,900",04/02/2024,"$1,030,900",Apartment/Condominium
65,"806 - 15111 Russell Ave, White Rock, BC",2,2,1152 sqft,,1,"$2,018",1988,R2850688,Residential,Yes,,$494,05/05/2024,"$525,000",17/02/2024,"$569,900",Apartment/Condominium
66,"309 - 15357 Roper Ave, White Rock, BC",1,1,620 sqft,,1,"$2,085",2011,R2877256,Residential,Yes,,$851,05/05/2024,"$528,000",05/05/2024,"$528,000",Apartment/Condominium
67,"206 - 15367 Buena Vista Ave, White Rock, BC",2,2,1551 sqft,,1,"$3,202",1990,R2861305,Residential,Yes,,$580,05/05/2024,"$895,000",19/03/2024,"$899,900",Apartment/Condominium
68,"14479 Marine Dr, White Rock, BC",4,4,5127 sqft,,4,"$15,502",2017,R2876493,Residential,Yes,,$975,05/05/2024,"$5,150,000",28/04/2024,"$4,999,900",Single Family Residence
69,"306 - 15611 Marine Dr, White Rock, BC",0,2,931 sqft,,0,"$2,116",2003,R2866635,Residential,Yes,,"$1,262",04/05/2024,"$1,125,000",03/04/2024,"$1,175,000",Apartment/Condominium
70,"201 - 15152 Russell Ave, White Rock, BC",2,0,1293 sqft,,2,"$4,074",2008,R2874547,Residential,Yes,,"$1,043",04/05/2024,"$1,300,000",22/04/2024,"$1,349,000",Apartment/Condominium
71,"15917 Goggs Ave, White Rock, BC",4,2,2500 sqft,,5,"$5,322",1972,R2850658,Residential,Yes,,$599,04/05/2024,"$1,440,000",18/02/2024,"$1,498,000",Single Family Residence
72,"15840 Russell Ave, White Rock, BC",4,1,2049 sqft,,3,"$5,803",1971,R2876192,Residential,Yes,,$682,04/05/2024,"$1,353,000",29/04/2024,"$1,398,000",Single Family Residence
73,"105 - 1280 Merklin St, White Rock, BC",2,2,896 sqft,,1,"$2,392",2001,R2875955,Residential,Yes,,$646,03/05/2024,"$562,500",25/04/2024,"$579,000",Apartment/Condominium
74,"13879 Coldicutt Ave, White Rock, BC",4,1,2341 sqft,,4,"$6,878",1969,R2846491,Residential,No,,$681,01/05/2024,"$1,510,000",04/02/2024,"$1,595,000",Single Family Residence
75,"1708 - 1455 George St, White Rock, BC",2,2,987 sqft,,2,"$3,764",2013,R2855008,Residential,Yes,,$910,01/05/2024,"$832,000",04/03/2024,"$899,000",Apartment/Condominium
76,"806 - 1501 Foster St, White Rock, BC",2,1,806 sqft,,1,"$3,084",2022,R2870824,Residential,Yes,,$991,01/05/2024,"$784,900",14/04/2024,"$798,800",Apartment/Condominium
77,"13873 Blackburn Ave, White Rock, BC",4,3,2444 sqft,,6,"$6,805",1967,R2871692,Residential,Yes,,$654,30/04/2024,"$1,620,000",14/04/2024,"$1,599,000",Single Family Residence
78,"302 - 1322 Martin St, White Rock, BC",2,1,1111 sqft,,1,"$2,041",1973,R2857981,Residential,Yes,,$602,28/04/2024,"$667,000",17/03/2024,"$669,800",Apartment/Condominium
79,"204 - 1354 Winter St, White Rock, BC",2,1,1009 sqft,,1,"$2,024",1983,R2849388,Residential,Yes,,$495,28/04/2024,"$485,000",25/02/2024,"$499,998",Apartment/Condominium
80,"103 - 1378 Fir St, White Rock, BC",2,2,1324 sqft,,1,"$2,667",1986,R2874620,Residential,Yes,,$509,26/04/2024,"$676,500",23/04/2024,"$674,900",Apartment/Condominium
81,"310 - 1441 Johnston Rd, White Rock, BC",2,2,900 sqft,,1,"$3,771",2020,R2864042,Residential,Yes,,$954,25/04/2024,"$855,000",27/03/2024,"$859,000",Apartment/Condominium
82,"1107 - 15165 Thrift Ave, White Rock, BC",2,2,1163 sqft,,2,"$5,500",2020,R2872258,Residential,Yes,,"$1,461",25/04/2024,"$1,695,000",17/04/2024,"$1,700,000",Apartment/Condominium
83,"506 - 1441 Johnston Rd, White Rock, BC",1,1,648 sqft,,1,"$2,656",2020,R2852720,Residential,Yes,,"$1,001",22/04/2024,"$640,000",27/02/2024,"$649,000",Apartment/Condominium
84,"PH6 - 1588 Best St, White Rock, BC",1,1,712 sqft,,1,"$1,981",1995,R2856568,Residential,Yes,,$742,21/04/2024,"$520,000",03/03/2024,"$529,000",Apartment/Condominium
